DY
6216
8
mn1;mn2;mn3;mn4;mv1;mv2;mv3;mv4
126;54.57;124.52;0.05;4.61;50.0;1103.4;0.5;1.0
127;57.85;335.51;0.06;4.65;47.58;2960.58;0.26;3.65
128;65.13;268.76;0.04;4.97;45.76;2075.73;0.26;3.75
129;53.25;268.3;0.07;4.18;36.51;2001.15;0.28;3.26
130;55.66;239.64;0.06;4.72;44.77;1707.37;0.27;3.29
131;59.03;79.5;0.08;4.09;93.82;869.98;0.49;1.06
132;52.96;262.8;0.07;4.63;46.47;2863.78;0.26;3.15
133;55.08;231.03;0.06;4.9;50.54;1873.47;0.27;3.41
134;52.3;276.86;0.08;4.23;55.67;2689.84;0.35;1.84
135;52.76;343.46;0.05;4.82;58.95;5959.55;0.42;1.58
136;62.35;175.86;0.06;4.36;39.24;1946.63;0.31;2.5
137;54.78;164.47;0.05;4.76;73.57;498.74;0.28;2.98
138;50.76;231.1;0.09;4.11;37.9;1708.82;0.32;2.14
139;62.38;165.43;0.05;4.62;41.39;2619.85;0.27;3.57
140;62.28;270.07;0.07;4.33;43.17;2181.62;0.37;1.68
141;52.94;305.03;0.06;4.43;36.16;1995.79;0.26;3.45
142;52.92;240.06;0.06;4.49;54.39;2629.2;0.29;3.07
143;64.55;131.43;0.12;3.63;45.21;1676.45;0.29;2.57
144;53.17;184.12;0.1;3.88;46.82;1785.58;0.42;1.46
145;57.37;172.83;0.05;4.64;75.05;400.12;0.26;3.32
146;55.77;179.48;0.05;4.77;78.13;717.39;0.28;3.25
147;60.67;207.32;0.05;4.57;44.99;2175.73;0.28;3.47
148;57.37;172.83;0.05;4.64;75.05;400.12;0.26;3.32
149;57.24;177.31;0.06;4.27;88.82;975.61;0.35;1.78
150;54.06;415.47;0.07;4.38;73.3;641.44;0.26;3.46
151;63.42;156.63;0.05;4.64;40.89;1955.92;0.29;2.4
152;59.38;201.61;0.1;3.78;45.06;1936.35;0.3;2.32
153;53.29;293.96;0.08;4.06;81.88;1335.0;0.28;3.34
