DY
6216
12
c;cs;d;ds;e;f;fs;g;gs;a;as;b
2941;751;158;643;196;273;956;137;693;241;436;676;827
2942;322;469;1055;258;1428;0;137;16;689;1767;0;413
2943;2473;52;637;74;588;1167;34;581;4;732;294;1
2944;573;157;503;82;139;163;145;188;4;252;119;397
2945;365;482;725;20;1555;154;163;52;554;1452;0;337
2946;1134;465;955;1051;15;1757;596;707;729;572;1806;16
2947;407;237;683;83;365;4;2209;329;31;215;26;838
2948;1052;74;621;59;631;219;111;568;0;372;230;438
2949;451;55;1356;0;73;10;968;680;0;505;0;459
2950;833;136;957;29;400;33;64;516;1590;142;0;61
2951;630;74;78;82;466;54;187;4;32;166;102;216
2952;439;430;1446;106;946;8;794;599;0;1338;677;819
2953;278;808;181;0;2685;5;91;5;548;1474;3;705
2954;26;236;114;121;36;42;324;4;90;1;92;92
2955;701;227;519;60;602;13;1092;167;189;382;15;413
2956;407;434;1129;50;535;4;734;31;75;837;49;263
2957;1527;1428;1498;391;880;843;3089;488;287;424;663;903
2958;1010;107;241;135;443;987;847;85;2;108;450;297
2959;1460;413;1679;275;773;158;465;1347;11;256;6;1413
2960;996;11;692;15;493;216;1027;762;0;444;11;266
2961;500;109;54;42;10;490;187;1;0;15;1029;4
2962;888;9;1747;8;392;395;46;820;2;260;24;293
2963;1732;42;624;3;588;1280;4;685;0;1351;52;8
2964;66;290;1060;159;303;19;741;246;85;530;0;1090
2965;136;1260;1547;191;1739;3;1517;78;575;1736;56;1127
2966;611;92;325;1;98;128;1148;256;8;154;31;142
2967;729;194;489;251;118;23;440;237;8;262;560;180
2968;2523;197;979;58;191;2195;1488;244;0;382;1397;313
2969;1374;365;413;314;231;836;703;323;377;221;422;24
2970;519;498;344;468;1267;6;1116;17;551;501;8;1286
2971;297;149;171;72;136;167;300;42;75;146;48;176
2972;1179;217;1840;404;400;137;467;1803;410;727;72;495
2973;295;103;774;57;374;11;655;406;178;514;0;427
2974;651;479;1871;553;1227;178;1373;347;432;1331;538;1392
2975;714;218;511;136;18;700;351;162;0;77;384;0
2976;218;45;255;3;344;112;160;197;17;186;24;270
2977;788;138;866;98;973;38;1142;480;139;523;38;838
2978;526;516;822;0;1573;0;312;20;530;1320;0;522
2979;1368;127;209;58;319;1256;1678;313;0;416;299;398
2980;456;570;356;719;1446;13;1179;0;448;639;16;1001
2981;548;48;281;120;160;248;123;293;72;163;150;99
2982;28;894;71;294;65;206;2374;21;315;4;1065;413
2983;274;516;755;733;661;260;656;194;434;381;401;884
2984;249;25;95;222;11;312;52;110;18;45;259;148
2985;617;164;1604;96;472;18;1230;287;24;566;8;893
2986;963;138;685;252;189;801;96;608;31;233;234;303
2987;2003;196;818;152;1258;1626;2254;897;4;952;553;429
2988;1205;85;906;14;617;211;21;877;1473;152;17;548
2989;1289;96;1151;1034;512;772;594;791;29;682;460;251
2990;817;35;291;222;247;357;422;649;17;216;27;704
2991;665;299;331;0;269;277;1231;533;2;205;24;691
2992;191;49;621;5;85;7;95;107;2;280;7;55
2993;805;384;927;623;1170;68;445;406;174;777;901;308
2994;383;322;435;14;697;40;711;26;304;426;94;344
2995;68;8;276;0;359;0;29;0;2;420;0;23
2996;1801;416;1181;557;806;1100;1257;1259;21;643;100;733
2997;134;296;197;592;536;168;259;29;213;158;52;490
2998;387;1363;1376;60;853;182;1918;343;239;577;551;1257
2999;790;58;1889;22;837;54;2020;1837;6;935;22;2000
3000;722;11;1044;113;163;47;437;696;10;375;61;223
3001;367;449;176;183;1067;5;1126;9;432;551;177;693
3002;587;402;213;1055;2461;36;2566;10;1053;420;41;2500
3003;2133;63;1003;482;580;659;495;1222;342;307;93;545
3004;2033;164;377;0;340;380;0;818;294;49;73;189
3005;503;180;322;7;448;19;532;37;99;537;35;165
3006;644;81;683;69;374;30;1011;391;0;491;46;618
3007;1106;77;240;35;507;440;4;560;141;408;5;266
3008;1413;251;1537;657;515;174;997;1489;477;577;268;494
3009;548;789;980;39;1204;49;741;235;287;1050;68;968
3010;1346;761;711;125;147;908;202;125;456;181;271;8
3011;621;222;302;78;374;255;199;326;114;239;36;249
3012;2102;1856;1026;439;2238;647;2499;1548;666;886;103;1667
3013;30;78;393;0;415;9;271;39;49;502;27;278
3014;1095;378;993;166;257;874;821;544;11;628;601;42
3015;231;606;524;2;893;16;509;18;508;797;16;248
3016;27;216;306;61;271;8;939;46;0;50;75;790
3017;1442;139;634;6;348;728;1022;1124;227;336;75;318
3018;164;9;398;2;619;0;0;0;98;589;0;19
3019;462;0;564;0;124;22;669;320;0;119;105;192
3020;741;652;162;1190;208;314;93;363;481;24;1302;0
3021;117;790;305;300;532;10;589;211;94;129;325;824
3022;1053;77;643;55;652;224;113;557;0;382;245;459
3023;179;802;132;675;390;1;3290;13;633;29;562;1395
3024;803;85;952;35;444;427;831;390;0;189;261;701
3025;772;124;559;4;328;72;265;664;234;484;24;319
3026;323;189;536;270;296;350;287;170;107;349;403;323
3027;577;12;2426;0;93;88;261;541;6;290;12;293
3028;249;25;95;222;11;312;52;110;18;45;259;148
3029;166;422;143;310;984;24;350;82;296;611;4;838
3030;215;154;90;202;471;5;673;3;273;102;112;694
3031;58;650;571;31;544;27;383;51;273;536;1;493
3032;391;132;345;561;61;257;46;339;413;27;385;157
3033;580;252;2608;220;497;50;861;762;326;1287;41;530
3034;282;134;215;91;88;100;277;164;67;102;41;151
3035;523;18;549;450;271;404;221;651;9;193;49;366
3036;147;84;272;34;31;66;69;84;9;112;43;15
3037;600;9;257;261;37;329;529;115;45;90;176;10
3038;53;697;1795;4;618;110;2172;131;121;2139;13;619
3039;997;66;735;0;294;313;901;436;20;384;3;152
3040;419;262;596;139;722;8;975;7;215;275;2;494
3041;693;444;584;452;70;389;446;593;344;8;192;508
3042;661;26;562;17;263;57;510;500;34;277;8;565
3043;1315;8;1434;284;594;4;1348;1031;61;120;340;734
3044;647;74;764;473;478;84;170;625;23;332;957;284
3045;879;42;1130;150;373;27;1104;605;0;433;1043;305
3046;345;56;672;1;155;18;957;451;0;177;6;457
3047;591;73;331;122;3;445;436;150;9;168;380;11
3048;614;23;1005;6;118;26;593;651;0;230;97;123
3049;1494;12;558;18;166;298;297;677;18;83;64;139
3050;825;6;1175;0;50;282;448;1142;0;190;295;27
3051;2411;82;348;3;947;670;1224;1005;133;292;44;434
3052;196;639;1231;16;497;6;3336;535;32;918;6;565
3053;323;375;1005;145;532;347;2406;428;23;521;222;730
3054;1302;595;670;14;1146;111;246;27;225;1042;329;283
3055;440;254;291;129;891;39;1027;117;198;326;338;699
3056;747;5;5583;4;248;112;1431;2111;2;1038;2;1002
3057;916;136;690;0;153;160;376;666;527;346;26;102
3058;155;340;808;31;206;130;273;83;410;868;438;134
3059;2634;4;935;117;673;286;8;2368;44;424;259;444
3060;1407;9;785;95;740;75;849;947;10;429;137;361
3061;537;79;237;13;250;371;311;276;41;185;28;207
3062;996;15;1187;64;504;25;207;2017;0;387;288;895
3063;439;116;297;33;186;178;214;299;10;220;163;225
3064;1165;128;633;44;215;853;1420;689;0;304;557;294
3065;367;138;652;187;285;90;597;227;185;438;170;223
3066;53;2;49;255;35;23;26;20;0;37;310;3
3067;1246;28;1516;87;688;116;367;1825;14;576;616;1309
3068;803;214;643;110;129;63;275;495;7;655;417;195
3069;1139;63;937;46;281;704;376;248;0;358;363;22
3070;2026;167;2277;6;363;816;41;755;3;307;697;106
3071;387;890;1196;67;1895;50;227;185;342;924;25;377
3072;1774;67;427;43;241;1050;1140;546;0;424;195;26
3073;77;396;474;0;536;1;988;8;71;737;0;362
3074;526;0;1599;14;150;11;283;780;0;203;2;303
3075;198;657;1016;44;1375;12;1114;172;256;907;66;1268
3076;223;1156;2105;31;2554;18;3177;493;361;2666;0;1579
3077;677;365;744;238;683;404;1065;127;208;488;336;386
3078;1360;41;4394;3;812;29;630;2028;153;737;23;950
3079;872;101;443;166;228;500;60;516;77;225;51;184
3080;64;83;221;0;80;0;388;61;3;178;0;28
3081;5392;506;1037;759;1702;4210;1546;1433;174;1613;1365;601
3082;1034;113;445;329;1056;6;1046;49;339;127;86;1497
3083;716;24;933;51;212;2;732;510;80;102;39;222
3084;249;244;227;156;671;4;355;23;176;430;0;1046
3085;2403;495;1253;7;577;618;647;1104;197;456;297;148
3086;499;634;312;25;383;67;320;70;92;508;66;264
3087;42;226;299;88;784;18;321;0;101;408;21;948
3088;800;481;227;1795;156;222;406;393;983;155;630;91
3089;180;223;297;1150;2918;59;1005;241;1029;917;116;3033
3090;608;201;370;621;23;673;323;142;259;198;596;0
3091;1220;248;288;525;315;383;0;793;222;115;32;233
3092;56;1143;425;833;1043;23;2244;21;1714;207;604;1442
3093;87;275;202;79;429;40;276;4;531;321;60;268
3094;509;24;1658;28;199;38;659;1088;32;469;51;583
3095;221;92;134;22;75;68;49;78;7;52;22;91
3096;348;21;346;0;60;151;602;189;0;88;186;103
3097;544;16;240;563;77;87;68;91;154;54;38;62
3098;356;1130;2197;12;1947;42;1521;289;494;2499;79;1245
3099;612;303;295;206;699;34;758;40;172;358;28;697
3100;711;94;444;280;127;836;303;255;138;298;396;245
3101;995;147;3147;97;509;30;2138;1917;311;1561;135;1562
3102;936;137;387;14;659;398;589;846;21;110;4;920
3103;689;10;1691;23;310;107;253;1048;6;448;9;794
3104;691;58;1462;108;352;60;557;848;22;304;29;444
3105;315;636;332;405;1923;7;1123;7;801;793;20;1215
3106;406;383;751;21;1021;4;671;24;540;800;136;365
3107;141;297;310;201;620;12;650;51;262;320;36;704
3108;44;344;288;62;115;20;639;8;61;20;36;391
3109;146;366;485;6;841;14;1124;48;197;755;6;659
3110;847;341;1103;70;410;234;439;719;828;394;249;573
3111;2164;118;1030;3;276;134;716;472;0;91;2;92
3112;38;215;703;12;215;6;1140;92;23;656;161;231
3113;115;273;255;133;261;74;416;4;87;402;692;181
3114;64;502;272;512;884;0;1798;0;532;490;62;1580
3115;1311;1219;3243;818;1875;389;1956;899;385;1939;519;716
3116;1283;129;451;335;361;902;1223;253;29;610;427;407
3117;381;315;497;97;382;11;649;229;12;267;75;425
3118;796;0;1240;17;15;6;715;526;0;36;124;188
3119;464;662;2896;51;1085;66;1418;695;36;1572;21;1028
3120;105;26;425;130;657;7;41;469;23;680;83;701
3121;591;666;2068;502;558;14;2237;964;15;1823;143;1476
3122;206;176;466;31;466;3;462;16;117;491;33;359
3123;480;407;1357;5;662;33;346;636;379;1038;67;310
3124;959;13;767;762;415;23;1249;584;111;387;2;319
3125;105;483;451;179;1097;245;290;0;487;1280;2;634
3126;148;480;637;245;569;25;575;28;225;628;9;363
3127;1299;55;599;2;60;536;1050;539;22;40;44;16
3128;792;108;145;19;162;308;1;474;425;111;40;148
3129;44;153;555;210;696;8;462;41;201;507;2;594
3130;147;487;1467;232;406;21;734;362;6;878;527;472
3131;208;5;601;64;122;14;517;359;0;171;231;383
3132;813;31;281;33;430;249;749;483;52;130;331;249
3133;40;517;660;1013;644;17;1191;66;449;18;559;2202
3134;1196;204;607;264;675;412;11;818;199;381;118;370
3135;477;453;931;4;580;181;614;104;394;1191;136;61
3136;1034;77;659;4;211;194;1075;420;0;180;4;155
3137;826;54;678;0;83;15;1091;158;1;231;69;90
3138;60;285;180;666;517;1;689;184;426;23;201;1286
3139;937;3;1004;132;260;323;179;1221;82;366;3;483
3140;522;185;488;85;126;229;195;72;104;22;168;169
3141;633;34;250;61;270;320;197;457;9;197;25;288
3142;161;27;399;0;21;27;101;89;0;74;0;183
3143;1266;58;192;56;1002;285;18;222;77;419;132;314
3144;75;138;342;940;65;97;280;281;237;126;1440;0
3145;284;137;305;104;392;64;430;76;99;164;48;360
3146;514;117;430;79;54;471;859;245;172;110;315;373
3147;1579;168;490;40;621;539;482;908;51;422;147;380
3148;322;505;1034;33;365;35;355;425;59;599;31;381
3149;522;2;1379;48;186;71;263;624;384;343;2;527
3150;592;867;675;609;1386;354;1278;261;227;1347;10;613
3151;98;536;557;30;1867;261;324;47;716;2269;266;488
3152;289;1;367;43;10;2;32;348;13;10;0;73
3153;561;169;742;84;382;8;963;504;4;163;92;454
3154;204;24;649;0;66;98;394;317;3;344;48;28
3155;987;79;267;20;338;279;914;466;0;120;164;329
3156;554;29;205;61;194;523;16;185;93;166;208;351
3157;186;855;118;321;57;244;1245;0;397;43;301;488
3158;343;428;155;294;1025;35;432;13;544;672;22;737
3159;1738;171;2225;34;809;140;2696;1963;6;826;30;2078
3160;269;81;296;1419;4;322;810;233;712;601;1710;4
3161;352;103;461;534;192;1242;284;189;71;284;1172;10
3162;930;220;1122;479;58;215;787;507;537;319;555;280
3163;249;61;234;29;43;122;167;35;7;67;88;8
3164;391;0;547;0;197;11;173;728;0;301;0;277
3165;742;142;68;9;492;205;216;530;100;26;7;146
3166;1002;72;719;10;393;27;706;799;0;474;50;271
3167;1124;453;351;1026;23;487;334;473;674;39;795;21
3168;188;28;304;30;76;254;27;177;5;165;114;29
3169;937;88;27;335;523;15;336;16;288;136;152;1293
3170;586;5;877;2;196;27;560;342;9;178;44;285
3171;1287;9;1481;19;179;18;586;1499;0;206;46;293
3172;234;211;117;79;289;93;482;48;181;170;72;281
3173;788;161;108;1114;154;362;4;54;28;91;730;0
3174;279;153;1102;4;209;10;309;277;24;468;70;232
3175;263;497;652;0;510;0;914;0;283;730;0;274
3176;221;90;562;122;150;17;95;131;23;65;14;22
3177;989;133;391;62;275;123;74;661;0;46;134;293
3178;124;408;194;362;1156;3;485;6;321;399;405;730
3179;487;16;280;61;243;64;254;278;2;106;19;318
3180;2606;325;776;58;829;985;566;1679;615;774;75;515
3181;69;1015;1186;179;798;133;1340;35;226;1218;736;656
3182;158;56;155;21;244;11;251;1;65;181;2;269
3183;793;74;424;10;459;306;409;412;64;322;65;287
3184;500;406;540;342;1193;10;887;27;327;644;103;1067
3185;1017;35;905;116;87;225;450;205;78;76;28;271
3186;2159;63;1405;34;557;85;684;1506;0;320;137;557
3187;1669;33;1736;170;777;116;896;1633;13;818;669;818
3188;1051;6;924;15;392;58;389;1024;13;251;0;460
3189;409;145;539;45;703;40;868;37;175;440;2;241
3190;1602;903;493;238;1211;783;339;715;323;693;441;878
3191;337;88;65;1065;736;37;187;0;181;330;0;630
3192;443;3;1366;0;291;38;238;507;0;329;3;370
3193;94;508;222;50;1308;16;307;23;448;1311;63;281
3194;1516;893;1586;1127;1336;45;1458;355;131;850;193;613
3195;1088;8;370;20;309;104;256;1154;0;70;202;272
3196;641;273;435;276;1362;54;371;430;307;491;10;1130
3197;651;175;224;144;528;454;217;181;217;406;240;397
3198;1703;90;1521;1465;232;246;2855;2548;343;277;463;626
3199;664;95;3283;6;645;4;1953;2577;249;1093;24;1531
3200;870;1255;343;1027;1147;325;3680;64;716;68;1100;2124
3201;139;776;834;37;753;0;961;14;242;905;19;617
3202;1000;20;248;75;115;250;345;463;63;110;46;134
3203;382;691;266;169;228;150;922;86;788;313;153;372
3204;1415;41;616;27;419;693;1010;494;19;371;177;284
3205;930;382;2195;211;123;46;299;344;533;517;39;343
3206;317;601;606;36;515;67;1049;38;250;484;58;476
3207;506;64;902;18;43;415;842;119;4;312;238;309
3208;408;194;71;15;75;270;0;235;211;78;24;36
3209;109;220;396;19;551;8;368;8;175;514;39;545
3210;98;762;1258;8;1174;30;345;71;717;1264;16;382
3211;753;25;149;53;593;513;545;211;0;118;227;547
3212;27;98;465;108;157;11;464;159;2;225;38;95
3213;0;122;350;0;645;0;153;8;88;468;0;199
3214;1405;77;310;84;389;498;44;693;0;520;714;142
3215;2028;103;557;61;744;890;1484;529;0;418;340;140
3216;1646;300;273;20;361;467;4;1014;426;137;42;191
3217;4951;1115;8458;375;3556;1076;4489;3568;864;2978;442;3443
3218;123;551;264;456;2043;139;887;7;1059;541;76;1339
3219;314;388;139;122;1511;31;616;59;924;429;8;779
3220;558;390;1737;3;322;25;489;1262;1815;470;11;395
3221;83;341;347;86;21;95;1063;11;277;0;99;300
3222;1438;22;365;16;282;747;1565;345;0;606;262;1
3223;1356;53;312;7;319;456;224;585;11;465;100;187
3224;4903;147;1221;118;920;2709;3180;1167;15;1071;922;44
3225;857;1;563;87;170;710;11;208;1;1097;168;0
3226;279;252;209;168;1045;8;829;15;337;521;47;762
3227;369;255;64;1025;583;141;1711;63;329;26;427;901
3228;170;27;465;7;167;26;115;396;0;36;63;197
3229;185;175;1012;125;101;0;101;297;6;214;491;33
3230;567;138;1285;0;313;211;488;162;8;1163;0;60
3231;419;160;1141;503;431;17;471;156;2;555;3;564
3232;610;266;10;655;58;50;230;166;278;0;274;632
3233;152;11;138;1161;20;238;42;146;8;49;390;0
3234;277;253;246;467;511;0;12;0;3;2;0;93
3235;1668;40;1741;1;567;938;183;1437;0;819;16;429
3236;821;682;173;974;34;252;1131;254;977;44;431;67
3237;697;534;154;260;766;0;1676;11;770;396;6;742
3238;320;853;227;808;1962;12;332;232;492;1002;16;1060
3239;328;86;242;158;91;140;173;268;92;99;57;342
3240;375;806;370;386;1492;35;580;19;848;465;329;854
3241;1360;29;476;112;533;486;429;599;6;456;14;179
3242;874;58;381;108;370;79;663;582;6;258;187;423
3243;1022;63;351;241;146;575;285;245;61;205;332;72
3244;827;162;435;48;88;517;610;140;122;174;472;37
3245;1604;538;2379;6;475;349;1497;1189;698;926;56;353
3246;878;197;263;1070;465;288;173;314;149;258;512;876
3247;1127;621;522;1448;108;1271;258;790;559;220;1089;131
3248;133;54;273;150;11;223;680;111;20;98;309;212
3249;3818;1575;3286;1759;2225;2461;4742;2320;856;2562;2040;2520
3250;103;25;196;546;0;56;1467;139;248;0;307;68
3251;1951;37;663;6;212;470;12;1210;0;144;3;302
3252;748;60;476;52;215;279;1133;659;1;442;201;423
3253;171;677;28;595;432;3;860;1;248;245;63;727
3254;328;61;656;49;196;2;753;193;0;252;436;61
3255;3485;45;5071;283;658;65;2322;3835;4;1113;436;1189
3256;106;170;746;82;191;106;71;84;0;397;60;235
3257;343;453;163;352;688;0;1158;11;249;283;4;716
3258;2341;1770;1599;907;4745;5;375;9;25;294;2;1543
3259;5392;506;1037;759;1702;4210;1546;1433;174;1613;1365;601
3260;1083;43;837;77;382;564;448;422;9;530;16;383
3261;662;82;572;48;273;35;818;486;9;276;225;401
3262;960;34;476;7;407;257;204;751;6;172;18;366
3263;491;5;284;16;106;1;111;398;35;37;0;195
3264;551;34;491;24;205;50;356;379;3;269;48;604
3265;767;114;244;93;119;354;41;289;189;154;27;69
3266;852;13;170;157;43;185;77;404;254;117;34;128
3267;468;285;737;32;359;19;464;33;291;401;2;308
3268;290;292;512;4;588;45;431;48;202;658;0;190
3269;780;40;105;23;64;126;15;168;58;36;19;5
3270;812;166;1064;130;414;94;1247;270;96;602;1358;241
3271;597;920;391;119;2835;380;288;6;679;835;1;1182
3272;526;2;364;28;574;204;4;322;4;92;2;103
3273;978;15;1116;22;283;33;370;498;18;306;204;216
3274;816;245;377;6;1538;59;751;32;132;1619;34;460
3275;332;808;1159;120;1009;93;1270;189;670;1319;71;697
3276;701;46;891;94;356;52;775;741;7;468;16;631
3277;516;13;676;8;72;11;121;768;0;89;26;137
3278;1024;18;829;130;373;22;437;643;5;255;6;331
3279;312;296;158;263;286;15;1089;2;109;77;604;656
3280;662;33;996;5;154;39;511;536;29;206;11;185
3281;1413;251;1537;657;515;174;997;1489;477;577;268;494
3282;124;621;2203;92;1673;4;211;59;257;1444;10;573
3283;1937;408;2072;280;817;1131;2051;605;91;898;577;362
3284;461;112;427;90;12;41;320;489;266;161;170;62
3285;678;874;1322;314;1478;0;1128;700;417;607;127;338
3286;138;285;503;2;630;9;397;130;158;281;33;149
3287;107;208;60;202;603;0;738;1;256;184;788;581
3288;326;10;856;47;227;5;89;438;7;107;0;440
3289;85;655;716;414;1427;21;1358;20;1345;847;27;1756
3290;178;540;600;45;431;45;1897;141;122;437;23;829
3291;651;620;313;687;1574;10;2605;0;904;750;468;2014
3292;319;209;521;43;956;45;560;42;287;698;76;450
3293;404;169;1005;71;180;236;847;239;16;521;93;135
3294;2620;221;262;378;1443;1433;388;335;290;628;2865;810
3295;509;7;233;119;168;156;0;259;1;140;964;69
3296;266;451;100;392;1335;71;244;2;388;304;91;646
3297;219;277;438;188;807;11;1020;122;250;542;55;710
3298;1769;137;657;2;505;272;1468;977;0;310;16;535
3299;863;804;1896;414;2204;611;1612;483;341;1725;1046;1117
3300;600;5;395;22;255;51;412;417;2;142;23;249
3301;670;219;691;157;370;51;502;175;79;246;42;163
3302;208;349;63;226;1247;16;1030;10;213;292;8;1214
3303;947;108;531;437;339;513;228;515;124;302;515;297
3304;1124;159;275;54;272;377;737;545;148;416;75;137
3305;506;719;2554;21;1573;237;1771;361;286;2887;314;747
3306;79;192;1009;34;220;4;140;384;1;674;20;135
3307;128;204;694;444;188;4;2581;99;0;461;165;100
3308;1264;6;1162;21;702;67;1449;750;6;476;95;596
3309;749;34;505;36;425;259;1044;573;5;290;70;515
3310;88;581;435;587;586;0;1365;0;202;22;226;810
3311;532;85;451;534;73;555;1013;337;19;212;820;32
3312;749;14;390;33;236;272;916;397;0;88;95;99
3313;1448;191;443;23;928;396;12;1080;302;207;57;291
3314;160;307;241;214;230;2;1495;0;213;1;200;590
3315;383;574;895;368;737;81;480;35;355;807;191;349
3316;258;438;2788;62;620;23;1462;584;40;1336;55;743
3317;264;58;808;98;302;25;155;793;0;316;830;491
3318;591;936;1911;20;954;40;1803;107;304;1241;192;324
3319;716;808;12;911;226;237;562;223;1648;7;466;29
3320;672;150;439;556;113;1082;691;306;50;215;1028;69
3321;2712;28;963;2;1183;269;0;2331;262;195;37;1063
3322;743;2663;3149;112;269;257;26;203;4;1320;256;73
3323;1866;1776;288;2243;391;540;973;629;2778;66;1099;825
3324;2182;2074;6743;757;2044;605;3219;2485;728;1958;421;3803
3325;634;77;354;453;44;773;107;609;41;244;499;70
3326;1922;262;1069;262;571;967;463;575;119;771;419;176
3327;1178;66;565;85;400;570;161;408;114;484;76;90
3328;223;1156;2105;31;2554;18;3177;493;361;2666;0;1579
3329;343;428;155;294;1025;35;432;13;544;672;22;737
3330;554;29;205;61;194;523;16;185;93;166;208;351
3331;894;214;970;641;36;223;752;253;428;21;352;75
3332;372;107;334;2;60;2;998;120;49;88;1;26
3333;104;13;1048;414;36;116;157;330;0;96;193;62
3334;2444;749;3243;22;2177;617;2107;2190;293;3120;460;1226
3335;235;596;1272;24;1171;49;422;94;554;1373;176;691
3336;1151;0;891;233;29;13;772;340;0;88;331;100
3337;389;234;1028;21;741;26;886;553;13;805;9;812
3338;725;115;613;10;564;214;1237;536;232;345;45;678
3339;1818;102;1236;42;675;725;58;1221;12;438;43;662
3340;262;501;618;392;818;129;412;10;368;996;52;828
3341;481;84;1060;19;89;3;203;576;0;41;38;100
3342;1432;95;239;96;457;1127;356;338;498;609;587;75
3343;1388;103;699;62;385;1210;303;308;163;406;441;6
3344;1786;736;605;47;838;1216;28;433;64;454;395;12
3345;223;423;378;217;658;6;575;4;248;649;11;309
3346;884;4;1386;7;248;49;592;936;4;520;201;403
3347;680;266;918;14;489;253;2164;377;254;294;57;102
3348;272;74;596;80;736;49;1130;24;162;691;211;271
3349;445;172;1057;118;306;422;692;212;4;473;181;154
3350;840;206;1518;20;314;56;307;912;515;325;8;416
3351;1973;388;1049;24;578;377;1532;1172;109;543;96;521
3352;54;188;103;138;848;41;174;71;436;524;222;636
3353;746;72;252;66;166;241;312;252;176;168;62;71
3354;989;15;1188;64;502;24;206;2029;0;388;288;898
3355;319;11;17;78;168;110;0;123;154;16;33;4
3356;375;71;596;320;347;328;70;251;251;109;329;255
3357;139;151;506;252;436;19;511;55;14;701;260;241
3358;204;329;680;2;526;169;1195;28;180;949;7;697
3359;318;379;181;180;561;19;574;22;316;338;18;438
3360;1004;70;442;386;453;574;288;527;19;302;52;192
3361;831;88;405;0;317;25;1290;536;17;235;7;194
3362;684;131;999;35;234;272;276;215;0;262;261;12
3363;386;330;1169;17;516;22;942;473;13;890;10;536
3364;1931;96;1181;610;937;821;868;968;46;799;767;608
3365;2155;250;1080;60;598;1999;608;796;117;486;190;388
3366;1389;99;1432;839;354;70;433;1386;30;411;546;426
3367;240;136;285;0;271;10;625;10;58;188;0;112
3368;342;124;532;217;222;204;439;193;119;237;63;143
3369;1038;15;1197;54;815;435;523;599;2;127;15;174
3370;58;401;398;8;1105;75;362;25;694;524;10;410
3371;122;647;1815;37;814;18;1644;464;137;1392;76;856
3372;893;240;889;40;390;26;900;855;1437;324;359;360
3373;200;435;366;220;948;5;739;31;404;585;107;871
3374;1128;232;570;210;629;502;662;364;137;512;58;250
3375;2329;23;2946;21;683;44;960;2436;0;960;94;1245
3376;76;298;144;381;366;32;809;48;462;22;171;621
3377;757;130;304;713;20;165;895;202;200;20;512;64
3378;3031;70;3222;113;1022;237;1388;3371;0;841;510;1369
3379;1095;378;993;166;257;874;821;544;11;628;601;42
3380;1452;412;835;83;358;409;431;508;337;375;195;248
3381;3565;415;900;51;2037;870;2422;2513;11;164;448;1019
3382;95;349;138;148;359;30;292;31;464;142;95;384
3383;52;402;95;105;427;0;229;0;324;214;0;386
3384;1068;278;372;11;1228;26;879;28;82;1210;74;429
3385;180;447;1424;454;523;9;488;903;0;859;2;835
3386;707;596;438;743;17;1334;361;277;434;583;939;13
3387;494;483;3165;104;1704;38;2120;1482;59;1373;198;1925
3388;44;746;200;134;1120;6;1655;10;658;861;190;1127
3389;198;478;477;36;1208;0;228;36;312;664;275;369
3390;140;97;357;1088;4;247;663;351;313;12;881;346
3391;389;0;1883;0;49;28;271;1345;0;96;3;107
3392;129;119;310;18;403;9;28;2;11;14;2;1096
3393;534;151;741;170;211;72;139;744;110;199;325;254
3394;2777;169;898;78;540;984;1573;1166;29;1168;421;187
3395;0;14;127;10;424;0;239;0;16;212;0;106
3396;146;152;1705;0;279;4;631;300;0;441;0;296
3397;72;160;608;11;335;10;328;13;40;411;35;78
3398;943;33;642;9;162;262;932;442;8;136;55;130
3399;1091;972;753;2070;3061;16;5455;19;1576;1149;932;3890
3400;48;1014;44;264;435;272;1504;13;260;27;1038;472
3401;1093;160;427;64;482;407;559;602;907;321;107;140
3402;327;11;763;0;123;6;655;431;4;258;0;368
3403;106;36;544;27;143;2;423;80;34;161;10;135
3404;610;79;55;90;140;256;2;244;93;88;17;108
3405;28;48;211;62;310;0;405;1;88;202;7;190
3406;212;556;404;612;331;17;854;1;997;774;401;609
3407;757;161;513;198;345;248;86;463;90;258;301;381
3408;61;324;119;266;773;39;273;0;356;430;5;838
3409;753;209;767;163;162;171;715;397;391;199;93;141
3410;787;1006;10;895;297;499;151;198;1067;40;244;190
3411;336;25;1839;1;317;44;1601;929;10;705;5;961
3412;746;111;623;123;175;638;276;263;34;241;411;68
3413;868;95;321;631;278;312;97;178;48;191;948;131
3414;716;264;268;34;57;492;0;239;753;205;321;9
3415;1212;530;629;304;307;483;985;517;369;364;998;465
3416;361;229;1166;0;222;484;556;537;0;593;21;249
3417;180;345;1401;24;815;6;446;69;151;697;44;325
3418;283;1071;1579;240;2508;110;1024;128;479;2634;149;1228
3419;1494;12;558;18;166;298;297;677;18;83;64;139
3420;820;783;561;343;2224;149;104;10;1732;1470;1;419
3421;158;735;129;167;1737;71;273;5;1551;672;0;1292
3422;1202;1240;357;1761;0;1042;2768;469;1590;29;2138;344
3423;129;637;15;494;347;2;1681;22;310;5;783;889
3424;620;124;154;44;127;221;2;343;422;67;9;75
3425;887;776;1736;385;4536;365;1261;247;888;2895;1056;3322
3426;44;6;150;196;270;29;238;30;12;264;115;22
3427;74;216;201;0;207;10;611;27;71;203;23;275
3428;1576;228;838;7;450;441;347;1428;0;964;26;556
3429;1241;213;369;88;443;419;745;589;231;236;68;315
3430;453;199;158;565;406;244;1206;56;427;30;642;264
