DY
6216
12
c;cs;d;ds;e;f;fs;g;gs;a;as;b
156;1105;185;179;97;427;305;298;634;408;240;70;95
157;155;518;321;125;713;31;417;11;566;373;83;360
158;227;29;202;1;14;307;164;10;0;11;37;55
159;388;296;349;98;1148;16;678;62;337;418;16;548
160;141;480;1078;59;362;141;242;89;147;343;124;157
161;52;201;556;19;807;2;1303;93;31;944;97;1120
162;35;65;1367;6;201;33;351;186;4;691;1;116
163;509;188;116;147;30;193;18;162;52;87;61;124
164;442;42;741;26;134;5;29;13;1;201;0;2
165;47;114;524;15;1007;0;153;16;65;972;0;202
166;607;45;765;0;92;14;605;715;1;88;7;217
167;56;183;461;19;604;10;156;21;59;1157;9;349
168;141;0;130;0;69;4;8;402;0;73;32;41
169;510;29;375;132;245;159;763;464;11;120;89;530
170;1698;137;2399;84;510;223;612;3053;1;365;160;1190
171;953;12;306;30;185;336;12;630;8;162;21;89
172;164;473;288;118;623;30;370;10;515;324;67;328
173;128;5;262;26;59;364;3;130;0;275;90;10
174;623;5;606;24;568;2;129;689;2;152;16;218
175;54;156;160;85;407;4;383;13;168;156;2;374
176;234;9;642;0;157;6;1117;434;0;110;0;427
177;52;112;1131;5;277;2;275;293;1;654;3;205
178;1988;155;3285;295;584;358;290;2878;38;675;532;1044
179;122;15;172;2;1;197;710;22;0;18;198;654
180;84;27;186;6;41;39;4;569;0;50;6;24
181;700;578;1324;10;1533;54;370;38;319;1666;16;265
182;171;2;62;4;2;32;0;364;0;0;7;2
183;746;66;224;536;0;96;251;387;257;2;271;4
184;54;178;347;59;826;0;486;0;179;299;4;772
185;563;111;805;155;129;42;75;150;32;145;5;45
186;317;37;588;14;106;408;45;1091;0;135;51;98
187;381;167;302;68;364;34;231;309;25;432;104;111
188;1352;7;99;18;55;15;19;254;5;56;18;163
189;1031;150;725;20;241;492;19;410;203;151;23;97
190;217;106;53;43;58;113;28;112;49;34;44;8
191;457;11;433;1;172;199;14;1029;0;127;12;203
192;1109;79;407;79;312;590;154;588;36;223;99;262
193;1205;36;335;6;428;266;722;524;0;204;6;202
194;419;82;1032;11;252;4;422;302;0;400;142;76
195;1013;40;206;100;318;127;36;390;14;98;5;229
196;2072;326;2071;675;607;55;72;1578;276;300;842;87
197;63;124;955;7;321;12;224;308;6;731;3;208
198;854;39;922;1;411;12;754;661;0;276;19;375
199;66;144;194;46;596;1;265;29;107;165;0;503
200;1066;11;1157;108;72;287;0;42;187;198;18;0
201;272;78;101;30;14;488;98;36;0;40;425;250
202;322;3;692;3;155;39;321;326;0;514;8;135
203;551;57;169;0;20;28;0;129;0;13;0;4
204;21;138;123;0;340;0;102;0;35;1162;0;104
205;1017;16;161;101;396;163;7;403;12;227;6;70
206;423;214;476;406;870;37;328;192;263;569;0;199
207;259;22;729;41;153;21;67;856;0;262;16;195
208;772;34;532;98;56;41;610;309;22;69;42;153
209;316;49;422;51;120;70;48;334;8;70;22;40
210;304;0;460;3;21;202;9;482;0;342;0;87
211;20;342;1912;80;598;3;518;56;37;1592;28;230
212;143;64;404;21;669;13;108;384;36;451;30;384
213;389;17;312;24;154;45;454;344;7;140;10;158
214;398;109;493;82;133;31;295;548;250;162;28;200
215;346;1;235;59;205;8;22;241;2;33;5;235
216;166;34;180;3;431;0;120;8;21;149;1;225
217;45;97;530;49;262;0;402;272;28;295;15;232
218;399;30;509;91;213;32;264;418;59;206;91;436
219;842;145;484;72;1114;2;930;57;371;195;48;656
220;1380;172;2809;97;284;300;465;314;72;434;228;108
221;883;40;1796;31;283;13;457;1350;2;329;19;714
222;1288;394;1532;0;320;357;9;599;376;288;37;132
223;876;233;699;1;1195;22;872;13;343;1189;118;195
224;418;8;59;19;21;71;9;188;51;2;12;6
225;676;114;594;29;107;1189;0;139;25;297;355;2
226;643;51;285;0;161;302;258;355;0;88;34;229
227;2534;3;27;0;210;10;6;578;0;31;1;25
228;850;3;116;25;121;93;4;329;9;55;13;23
229;50;180;512;7;524;1;188;9;118;1057;0;145
230;28;26;294;19;68;12;225;156;8;191;4;134
231;1217;20;1189;1;383;10;609;429;0;173;19;272
232;1691;39;1757;24;57;130;71;1953;5;134;66;106
233;255;0;422;94;72;0;128;396;4;105;53;128
234;565;75;548;0;129;20;202;123;18;458;0;38
235;562;118;252;0;555;13;785;17;24;529;8;331
236;841;620;16;704;6;150;127;176;1451;4;685;7
237;447;939;1168;19;381;21;908;34;552;408;77;293
238;410;5;498;6;83;367;19;652;21;85;2;52
239;318;622;91;501;12;263;86;105;486;7;251;208
240;208;37;156;35;3;190;14;7;29;6;106;97
241;774;524;29;392;559;23;797;112;419;30;281;514
242;312;22;273;153;265;31;76;483;5;236;0;238
243;426;728;101;366;129;130;1496;94;208;19;125;465
244;592;108;372;490;78;324;5;267;263;136;400;119
245;1337;40;346;158;267;491;2269;400;17;126;238;51
246;728;63;882;690;95;661;258;503;82;190;644;149
247;1002;72;719;10;393;27;706;799;0;474;50;271
248;1480;474;616;1610;308;501;672;184;590;592;838;300
249;3533;0;155;252;928;119;1119;250;16;568;1;570
250;73;5;370;0;15;0;49;79;0;460;0;214
251;340;410;216;72;568;94;257;57;573;606;157;283
252;1631;326;653;1013;197;499;763;606;597;0;495;123
253;992;0;870;812;192;32;22;909;0;128;1;126
254;1409;412;750;15;250;794;924;87;9;84;956;38
255;1180;725;16;829;148;153;789;160;1866;1;84;207
256;326;656;360;324;180;133;1428;6;648;16;243;580
257;395;253;1056;253;35;68;351;117;381;39;580;6
258;178;1768;247;960;337;324;2470;0;639;102;1565;1433
259;940;1;481;93;923;167;85;103;4;364;148;110
260;45;97;530;49;260;0;402;272;28;292;15;232
261;0;468;341;168;202;14;551;1;61;4;55;332
262;1359;106;833;277;906;958;1104;332;81;530;473;61
263;292;294;983;1180;1613;0;2771;148;117;301;816;2365
264;109;1087;543;596;330;251;165;14;1008;261;71;168
265;63;288;775;0;765;0;359;287;0;604;0;340
266;547;1035;932;412;16;228;1093;0;874;246;243;9
267;66;221;239;12;243;77;180;7;62;177;19;198
268;728;40;426;20;269;181;519;487;75;320;35;138
269;266;1005;534;397;268;10;678;0;469;0;348;1144
270;447;405;228;505;163;298;361;131;646;65;368;416
271;1289;103;367;1;625;477;1264;193;28;207;27;112
272;738;168;818;280;351;256;897;925;225;401;317;264
273;855;307;360;947;0;24;462;258;847;0;204;42
274;408;298;860;130;605;21;1056;291;74;678;53;325
275;410;189;707;349;761;167;304;109;497;313;23;305
276;927;588;152;1121;183;424;719;518;600;7;572;522
277;327;172;343;93;45;100;1020;288;242;45;309;133
278;1045;497;144;1836;99;249;1369;185;1040;40;954;734
279;960;33;1031;80;756;31;1505;402;1;392;1;696
280;1920;1370;690;47;384;393;4822;359;23;103;216;188
281;88;1560;804;274;171;178;972;17;781;17;416;615
282;4857;572;1396;460;2929;1228;633;1374;669;1756;187;1077
283;1703;839;1810;475;873;1218;640;770;593;1181;426;164
284;639;686;3171;612;839;36;953;117;397;738;363;770
285;530;156;964;15;599;5;1378;5;23;192;28;284
286;290;306;401;396;626;29;440;55;35;254;48;90
287;1090;224;319;0;75;64;0;35;0;3;2;0
288;1043;43;742;1;95;223;502;110;26;142;29;7
289;152;201;783;182;274;6;1380;108;78;144;136;737
290;179;496;6;38;136;694;97;4;112;31;33;88
291;119;1250;1165;30;0;52;839;164;0;124;1;382
292;126;94;462;35;183;17;448;42;59;292;519;73
293;482;276;309;553;357;34;651;176;171;262;57;423
294;528;19;934;208;687;6;727;9;127;164;39;269
295;723;503;16;1048;546;472;929;284;1184;20;331;491
296;1703;839;1810;475;873;1218;640;770;593;1181;426;164
297;668;550;243;587;151;255;1165;129;827;14;335;140
298;94;518;73;431;51;69;666;32;146;55;161;382
299;275;457;186;300;2728;8;1895;15;394;1096;71;1744
300;769;253;1211;277;342;205;315;855;212;210;98;251
301;21;904;646;47;1214;58;402;32;635;1000;36;526
302;843;82;1084;216;556;448;166;408;103;759;193;347
303;230;783;799;837;1519;148;265;131;672;3076;545;237
304;486;36;156;0;44;143;0;84;0;23;19;0
305;462;112;574;282;83;433;498;240;26;171;490;228
306;179;497;297;256;149;0;974;50;1181;0;18;148
307;1777;190;1774;216;236;1041;1317;1148;358;486;142;550
308;437;2125;250;390;293;493;740;128;830;389;539;354
309;768;17;514;526;41;132;244;441;74;210;283;459
310;237;88;432;195;89;22;818;355;2;366;49;242
311;49;0;12;0;1;28;0;1;0;4;0;0
312;569;876;52;402;158;203;869;7;996;16;106;38
313;509;7;233;119;168;156;0;259;1;140;964;69
314;1286;97;1233;13;88;236;104;1443;5;113;13;303
315;296;202;896;0;351;30;316;893;0;688;0;798
316;228;82;92;318;39;55;2;27;366;33;102;1
317;531;45;394;8;206;254;402;480;5;250;17;413
318;229;307;764;556;1051;7;1591;12;192;346;6;1356
319;1743;1281;914;1119;1307;117;1483;5;1515;544;50;337
320;1763;301;1398;379;755;204;1103;739;447;546;361;584
321;993;13;1272;14;315;545;596;850;0;762;642;321
322;953;46;1037;124;228;176;1129;405;30;172;5;40
323;1113;879;1409;262;1378;332;1168;1014;738;922;496;1154
324;265;249;219;290;871;0;1397;0;460;219;1791;823
325;360;830;257;910;120;280;1340;130;737;485;584;211
326;1211;379;787;542;509;989;923;574;39;369;996;231
327;417;1239;1259;631;770;147;897;1;926;1367;2;458
328;986;16;605;1;449;548;131;779;0;613;40;244
329;194;663;281;343;1057;114;331;1;697;720;394;483
330;119;1894;118;275;6;1414;977;0;947;31;1781;30
331;884;1208;2513;407;881;282;1009;563;352;661;478;899
332;1359;30;698;235;490;235;1288;462;190;380;22;396
333;169;4;848;0;56;5;1208;83;0;93;0;281
334;394;339;573;123;294;2;372;190;576;221;25;230
335;680;71;1825;87;13;590;0;116;0;112;603;0
336;329;109;395;266;2;102;26;37;28;1;111;5
337;502;197;266;221;94;370;367;211;101;167;345;186
338;25;315;156;202;193;2;652;4;88;1;151;640
339;2049;213;1710;1001;957;1703;2354;401;53;965;2150;212
340;760;21;418;9;130;354;144;466;0;189;27;226
341;1134;61;576;23;292;963;604;431;0;423;487;31
342;544;5;461;225;100;202;76;102;0;31;221;4
343;486;39;481;5;246;242;650;312;0;258;86;223
